Words;Quantity;Frequency%
fames;41;0,099
Lorem;33;0,080
dictumst;33;0,080
habitasse;33;0,080
hac;33;0,080
platea;33;0,080
adipiscing;31;0,075
Orci;30;0,073
dis;30;0,073
magnis;30;0,073
montes;30;0,073
mus;30;0,073
nascetur;30;0,073
natoque;30;0,073
parturient;30;0,073
penatibus;30;0,073
ridiculus;30;0,073
cubilia;29;0,070
curae;29;0,070
Class;28;0,068
ad;28;0,068
aptent;28;0,068
conubia;28;0,068
himenaeos;28;0,068
inceptos;28;0,068
litora;28;0,068
nostra;28;0,068
sociosqu;28;0,068
taciti;28;0,068
torquent;28;0,068
Interdum;23;0,056
potenti;23;0,056
facilisi;18;0,044
habitant;18;0,044
morbi;18;0,044
netus;18;0,044
senectus;18;0,044
it;3;0,007
Ipsum;2;0,005
is;2;0,005
pain;2;0,005
who;2;0,005
13690;1;0,002
150;1;0,002
92297;1;0,002
Català;1;0,002
Dansk;1;0,002
Deutsch;1;0,002
Eesti;1;0,002
English;1;0,002
Español;1;0,002
Filipino;1;0,002
Français;1;0,002
Generated;1;0,002
Hrvatski;1;0,002
Indonesia;1;0,002
Italiano;1;0,002
Latviski;1;0,002
Lietuviškai;1;0,002
Magyar;1;0,002
Melayu;1;0,002
Nederlands;1;0,002
Neque;1;0,002
Norsk;1;0,002
Policy;1;0,002
Polski;1;0,002
Português;1;0,002
Privacy;1;0,002
Pyccкий;1;0,002
Româna;1;0,002
Shqip;1;0,002
Slovenčina;1;0,002
Slovenščina;1;0,002
Suomi;1;0,002
Svenska;1;0,002
There;1;0,002
Tiếng;1;0,002
Türkçe;1;0,002
Việt;1;0,002
adipisci;1;0,002
after;1;0,002
and;1;0,002
because;1;0,002
bytes;1;0,002
com;1;0,002
dolorem;1;0,002
have;1;0,002
help;1;0,002
itself;1;0,002
lipsum;1;0,002
loves;1;0,002
no;1;0,002
of;1;0,002
one;1;0,002
paragraphs;1;0,002
porro;1;0,002
qui;1;0,002
quia;1;0,002
quisquam;1;0,002
seeks;1;0,002
simply;1;0,002
to;1;0,002
wants;1;0,002
words;1;0,002
Česky;1;0,002
Ελληνικά;1;0,002
Български;1;0,002
Српски;1;0,002
Українська;1;0,002
македонски;1;0,002
Հայերեն;1;0,002
עברית;1;0,002
العربية;1;0,002
द;1;0,002
न;1;0,002
ह;1;0,002
ไทย;1;0,002
ქართული;1;0,002
中文简体;1;0,002

Total:;41 221
